order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,shipping_status
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Shipped
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Shipped
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Shipped
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,Shipped
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Shipped
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Shipped
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,Shipped
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,Shipped
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,Shipped
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,Shipped
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,Shipped
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,Shipped
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,Shipped
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,Shipped
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,Shipped
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,Shipped
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,Shipped
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,Shipped
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,Shipped
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,Shipped
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,Shipped
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,Shipped
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,Shipped
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,Shipped
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,Shipped
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,Shipped
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,Shipped
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,Shipped
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,Shipped
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,Shipped
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,Shipped
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,Shipped
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,Shipped
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,Shipped
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,Shipped
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,Shipped
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,Shipped
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,Shipped
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,Shipped
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,Shipped
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,Shipped
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,Shipped
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,Shipped
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,Shipped
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,Shipped
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,Shipped
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,Shipped
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,Shipped
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,Shipped
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,Shipped
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,Shipped
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,Shipped
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,Shipped
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,Shipped
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,Shipped
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,Shipped
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,Shipped
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,Shipped
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,Shipped
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,Shipped
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,Shipped
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,Shipped
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,Shipped
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,Shipped
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,Shipped
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,Shipped
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,Shipped
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,Shipped
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,Shipped
70,50,3,2016-02-11,2016-02-11,,3,9,Pending
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,Shipped
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,Shipped
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,Shipped
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,Shipped
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,Shipped
76,9,3,2016-02-16,2016-02-16,,2,6,Pending
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,Shipped
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,Shipped
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,Shipped
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,Shipped
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,Shipped
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,Shipped
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,Shipped
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,Shipped
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,Shipped
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,Shipped
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,Shipped
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,Shipped
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,Shipped
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,Shipped
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,Shipped
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,Shipped
